********************************************************************************
Field Output Report, written Thu Oct 26 16:14:12 2017

Source 1
---------

   ODB: C:/SIMULIA/BenchThesis/24/Job.odb
   Step: ToRotate
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PART-1-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

            Node        NFORCSO1        NFORCSO2        NFORCSO3        NFORCSO4        NFORCSO5        NFORCSO6
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------------------------------------------------------
               1         304.628         60.9273         547.677     1.79548E+03    -1.43008E+03    -2.94187E+03
               2         288.175         119.023         543.679     1.89750E+03    -1.65017E+03    -2.89625E+03
               3         247.265         231.823         527.096     2.13108E+03    -1.85804E+03    -2.79308E+03
               4         189.621         335.105         494.309     2.42117E+03    -2.05368E+03    -2.66350E+03
               5         114.152         423.014         447.722     2.75788E+03    -2.23068E+03    -2.50260E+03
               6         20.9116         489.042         390.632     3.12769E+03    -2.38412E+03    -2.30633E+03
               7        -88.0526         526.441         327.063     3.51358E+03    -2.51100E+03    -2.07217E+03
               8        -207.914         529.029         261.401     3.89554E+03    -2.61047E+03    -1.79964E+03
               9        -330.663         492.400         197.784     4.25151E+03    -2.68386E+03    -1.49058E+03
              10        -445.445         415.362         139.368     4.55888E+03    -2.73424E+03    -1.14913E+03
              11        -539.867         301.235         87.6338     4.79648E+03    -2.76578E+03        -781.490
              12        -602.214         158.455         42.0037     4.94682E+03    -2.78262E+03        -395.477
              13        -624.027              0.              0.     4.99828E+03    -2.78786E+03              0.
              14        -602.214        -158.455        -42.0037     4.94682E+03    -2.78262E+03         395.477
              15        -539.867        -301.235        -87.6338     4.79648E+03    -2.76578E+03         781.490
              16        -445.445        -415.362        -139.368     4.55888E+03    -2.73424E+03     1.14913E+03
              17        -330.663        -492.400        -197.784     4.25151E+03    -2.68386E+03     1.49058E+03
              18        -207.914        -529.029        -261.401     3.89554E+03    -2.61047E+03     1.79964E+03
              19        -88.0526        -526.441        -327.063     3.51358E+03    -2.51100E+03     2.07217E+03
              20         20.9116        -489.042        -390.632     3.12769E+03    -2.38412E+03     2.30633E+03
              21         114.152        -423.014        -447.722     2.75788E+03    -2.23068E+03     2.50260E+03
              22         189.621        -335.105        -494.309     2.42117E+03    -2.05368E+03     2.66350E+03
              23         247.265        -231.823        -527.096     2.13108E+03    -1.85804E+03     2.79308E+03
              24         288.175        -119.023        -543.679     1.89750E+03    -1.65017E+03     2.89625E+03
              25         304.628        -60.9273        -547.677     1.79548E+03    -1.43008E+03     2.94187E+03


