Generic,CPU_mean_BLAS,CPU_conf_BLAS,CPU_mean_MKL,CPU_conf_MKL,CPU_mean_Julia,CPU_conf_Julia
{$ X.Y $},.5651321715548413,.004487969910062065,.23458461015692575,.00212574471486686,2.5029519046558253,.4917577991462372
{$ \lambda X $},.16263807132094424,.0005659741575796121,.1668957879572622,.0008817069239723176,.9158920109553431,.05599955081568152
{$ X+Y $},.20341252426171344,.0009521300239534243,.28032480546357613,.001589423243092715,.9802561234891509,.058464062622346116
{$ X-Y $},.1991725313882077,.0009140119752599982,.29391087217203615,.0021737303858239674,.924499404425733,.053812036979122346
{$ \lambda X+Y $},.20073717578140055,.001021900055005762,.2692536838412189,.0049385226547363405,2.346697693618137,.360220466222063
{$ X*Y $},nan,nan,.27677707891355663,.001524635031188977,2.306550792480649,.3638393769776754
{$ X^2 $},nan,nan,.29361682381545395,.0015229962326867193,8.0307,.1504879270826239
{$ X/Y $},nan,nan,1.1412356793375993,.004931817025599521,5.145713090229079,.4265030237722908
{$ 1/X $},nan,nan,1.1713152924820873,.014435546142684963,4.617860157219694,.14439406258837814
{$ |X| $},nan,nan,.26251612779797207,.0012053926715832185,1.5262025316455696,.10138449413790117
{$ \sqrt{X} $},nan,nan,.6444728045807586,.003988110324523137,4.565803196758217,.10475053854540925
{$ 1/\sqrt{X} $},nan,nan,.6113882846528312,.003531777279818169,9.86631336065574,1.0354183937442787
