Generic,CPU_mean_BLAS,CPU_mean_MKL,CPU_mean_Julia
{$ X.Y $},2.409076073561668,1,2.5029519046558253
{$ \lambda X $},.974488771176129,1,.9158920109553431
{$ X+Y $},.7256315541727675,1,.9802561234891509
{$ X-Y $},.6776630272854458,1,.924499404425733
{$ \lambda X+Y $},.7455317710705006,1,2.346697693618137
{$ X*Y $},nan,1,2.306550792480649
{$ X^2 $},nan,1,8.0307
{$ X/Y $},nan,1,5.145713090229079
{$ 1/X $},nan,1,4.617860157219694
{$ |X| $},nan,1,1.5262025316455696
{$ \sqrt{X} $},nan,1,4.565803196758217
{$ 1/\sqrt{X} $},nan,1,9.86631336065574
