Generic,CPU_mean_BLAS,CPU_mean_MKL,CPU_mean_Julia
{$ X.Y $},.5835121781974564,1.4972852317084955,1.5564996697950582
{$ \lambda X $},1.7240938575377664,1.7687317976666792,2.082421932283829
{$ X+Y $},1.8641777289434522,2.2057330873089596,1.9284041045429008
{$ X-Y $},1.900642725754961,1.996085308531694,2.1556190475442865
{$ \lambda X+Y $},1.9072927487712992,1.3615881656940292,1.6257381407978877
{$ X*Y $},nan,2.0568619145577363,1.558464185417306
{$ X^2 $},nan,1.6382783789895976,1.4857805409700613
{$ X/Y $},nan,3.106647212588562,1.695058447974242
{$ 1/X $},nan,2.984126632927705,1.5783193634360384
{$ |X| $},nan,1.8249968431927543,1.3888026874650907
{$ \sqrt{X} $},nan,5.250758841247118,1.5331466180204956
{$ 1/\sqrt{X} $},nan,3.98754500165099,1.4648897056761843
