dist	1/dist	E1/E0	E2/E0
0.0001	7390.6375	0.9936	1.0329
0.0001	9338.6459	0.9949	1.0259
8.7e-05	11515.8511	0.9959	1.0209
7.2e-05	13922.2485	0.9966	1.0172
6e-05	16557.8351	0.9971	1.0144
5.1e-05	19422.6091	0.9976	1.0123
4.4e-05	22516.5694	0.9979	1.0106
3.9e-05	25839.7151	0.9982	1.0092
3.4e-05	29392.0457	0.9984	1.0081
3e-05	33173.5609	0.9986	1.0072
2.7e-05	37184.2602	0.9987	1.0064
2.4e-05	41424.1436	0.9989	1.0057
2.2e-05	45893.2108	0.999	1.0052
2e-05	50591.4617	0.9991	1.0047
1.8e-05	55518.8963	0.9992	1.0043
1.6e-05	60675.5145	0.9992	1.0039
1.5e-05	66061.3161	0.9993	1.0036
1.4e-05	71676.3012	0.9993	1.0033
1.3e-05	77520.4698	0.9994	1.003
1.2e-05	83593.8218	0.9994	1.0028
1.1e-05	89896.3571	0.9995	1.0026
1e-05	96428.0759	0.9995	1.0024
9.7e-06	103188.978	0.9995	1.0023
9.1e-06	110179.0634	0.9996	1.0021
8.5e-06	117398.3323	0.9996	1.002
8e-06	124846.7844	0.9996	1.0019
7.5e-06	132524.4199	0.9996	1.0018
7.1e-06	140431.2388	0.9997	1.0017
6.7e-06	148567.2411	0.9997	1.0016
6.4e-06	156932.4266	0.9997	1.0015
6e-06	165526.7956	0.9997	1.0014
5.7e-06	174350.3479	0.9997	1.0014
5.5e-06	183403.0836	0.9997	1.0013
5.2e-06	192685.0027	0.9998	1.0012
4.9e-06	202196.1052	0.9998	1.0012
4.7e-06	211936.3911	0.9998	1.0011
4.5e-06	221905.8605	0.9998	1.0011
4.3e-06	232104.5132	0.9998	1.001
4.1e-06	242532.3494	0.9998	1.001
3.9e-06	253189.369	0.9998	1.0009
3.8e-06	264075.5721	0.9998	1.0009
3.6e-06	275190.9587	0.9998	1.0009
