N	dist	1/dist	E1/E0	E2/E0
2	0.0036	281.3552	0.5084	107.41
3	0.0017	571.4381	1.0228	3.9556
4	0.0011	921.2582	0.9686	2.2935
5	0.0007	1379.191	0.9432	1.5908
6	0.0005	1936.7959	0.943	1.3722
7	0.0004	2595.8745	0.9498	1.2536
8	0.0003	3356.2628	0.9571	1.1855
9	0.0002	4217.9374	0.9636	1.1418
10	0.0002	5181.0391	0.9689	1.1121
11	0.0002	6245.3469	0.9733	1.091
12	0.0001	7411.1261	0.9769	1.0753
13	0.0001	8678.1176	0.9798	1.0634
14	0.0001	10046.3896	0.9822	1.0542
15	8.7e-05	11516.0497	0.9843	1.0468
16	7.6e-05	13087.321	0.986	1.0409
17	6.8e-05	14759.2117	0.9874	1.036
18	6e-05	16533.5384	0.9887	1.0319
19	5.4e-05	18408.8098	0.9897	1.0285
20	4.9e-05	20385.464	0.9907	1.0256
21	4.5e-05	22463.2059	0.9915	1.0232
22	4.1e-05	24642.1584	0.9922	1.021
23	3.7e-05	26922.1883	0.9928	1.0192
24	3.4e-05	29304.0997	0.9933	1.0176
25	3.1e-05	31787.4535	0.9938	1.0162
26	2.9e-05	34367.8428	0.9943	1.0149
27	2.7e-05	37050.203	0.9947	1.0138
28	2.5e-05	39834.2284	0.995	1.0128
29	2.3e-05	42719.3025	0.9953	1.0119
30	2.2e-05	45705.5845	0.9956	1.0111
31	2e-05	48792.9567	0.9959	1.0104
32	1.9e-05	51981.7187	0.9961	1.0097
33	1.8e-05	55271.3546	0.9963	1.0091
34	1.7e-05	58663.5029	0.9965	1.0086
35	1.6e-05	62156.3129	0.9967	1.0081
36	1.5e-05	65750.6856	0.9969	1.0076
37	1.4e-05	69446.476	0.9971	1.0072
38	1.4e-05	73243.4962	0.9972	1.0068
39	1.3e-05	77141.7856	0.9973	1.0065
40	1.2e-05	81141.5438	0.9975	1.0062
41	1.2e-05	85242.5155	0.9976	1.0059
42	1.1e-05	89444.9391	0.9977	1.0056
43	1.1e-05	93748.6732	0.9978	1.0053
44	1e-05	98153.8797	0.9979	1.0051
45	9.7e-06	102660.1267	0.998	1.0048
46	9.3e-06	107269.3956	0.9981	1.0046
47	8.9e-06	111972.7448	0.9981	1.0044
48	8.6e-06	116806.0425	0.9982	1.0042
49	8.2e-06	121663.8588	0.9983	1.0041
50	7.9e-06	126758.6159	0.9983	1.0039
51	7.6e-06	131796.9233	0.9984	1.0038
52	7.3e-06	137057.6264	0.9985	1.0036
53	7e-06	142358.7872	0.9985	1.0035
54	6.8e-06	147781.0793	0.9986	1.0033
55	6.5e-06	153300.5535	0.9986	1.0032
56	6.3e-06	158922.2093	0.9987	1.0031
57	6.1e-06	164645.0918	0.9987	1.003
58	5.9e-06	170469.4199	0.9988	1.0029
59	5.7e-06	176395.05	0.9988	1.0028
60	5.5e-06	182422.1385	0.9988	1.0027
61	5.3e-06	188550.4385	0.9989	1.0026
62	5.1e-06	194780.2311	0.9989	1.0025
63	5e-06	201111.2277	0.9989	1.0024
64	4.8e-06	207543.5206	0.999	1.0024
65	4.7e-06	214077.1974	0.999	1.0023
66	4.5e-06	220712.5018	0.999	1.0022
67	4.4e-06	227448.3917	0.9991	1.0022
68	4.3e-06	234286.7475	0.9991	1.0021
69	4.1e-06	241226.0424	0.9991	1.002
70	4e-06	248266.7237	0.9991	1.002
71	3.9e-06	255408.4951	0.9992	1.0019
72	3.8e-06	262651.4878	0.9992	1.0019
73	3.7e-06	269995.5651	0.9992	1.0018
74	3.6e-06	277441.5252	0.9992	1.0018
75	3.5e-06	284988.9236	0.9992	1.0017
76	3.4e-06	292633.374	0.9993	1.0017
77	3.3e-06	300379.7873	0.9993	1.0016
78	3.2e-06	308227.8699	0.9993	1.0016
79	3.2e-06	316176.9949	0.9993	1.0015
80	3.1e-06	324227.3233	0.9993	1.0015
81	3e-06	332378.7405	0.9994	1.0015
82	2.9e-06	340631.5462	0.9994	1.0014
83	2.9e-06	348985.2085	0.9994	1.0014
84	2.8e-06	357441.3842	0.9994	1.0014
85	2.7e-06	365998.2437	0.9994	1.0013
86	2.7e-06	374656.6475	0.9994	1.0013
87	2.6e-06	383416.4827	0.9994	1.0013
88	2.5e-06	392277.5221	0.9995	1.0012
89	2.5e-06	401239.8508	0.9995	1.0012
90	2.4e-06	410303.6429	0.9995	1.0012
91	2.4e-06	419468.6468	0.9995	1.0012
92	2.3e-06	428735.0977	0.9995	1.0011
93	2.3e-06	438102.8678	0.9995	1.0011
94	2.2e-06	447572.102	0.9995	1.0011
95	2.2e-06	457142.3727	0.9995	1.0011
96	2.1e-06	466815.6783	0.9995	1.001
97	2.1e-06	476583.0881	0.9995	1.001
98	2.1e-06	486480.0454	0.9996	1.001
99	2e-06	496403.0301	0.9996	1.001
