distance	1/distance	E1/E0	E2/E0
0.001928	518.672199	0.675237	1.350474
0.000918	1089.324619	0.954930	1.273240
0.000529	1890.359168	0.974495	1.141692
0.000342	2923.976608	0.983632	1.087476
0.000239	4184.100418	0.988616	1.059595
0.000176	5681.818182	0.991629	1.043288
0.000135	7407.407407	0.993587	1.032899
0.000107	9345.794393	0.994931	1.025864
0.000087	11494.252874	0.995893	1.020875
0.000072	13888.888889	0.996605	1.017207
0.000060	16666.666667	0.997147	1.014430
0.000051	19607.843137	0.997568	1.012276
0.000044	22727.272727	0.997903	1.010572
0.000039	25641.025641	0.998173	1.009200
0.000034	29411.764706	0.998394	1.008079
0.000030	33333.333333	0.998578	1.007152
0.000027	37037.037037	0.998731	1.006376
0.000024	41666.666667	0.998861	1.005720
0.000022	45454.545455	0.998972	1.005160
0.000020	50000.000000	0.999068	1.004678
0.000018	55555.555556	0.999151	1.004262
0.000016	62500.000000	0.999223	1.003898
0.000015	66666.666667	0.999286	1.003579
0.000014	71428.571429	0.999342	1.003298
0.000013	76923.076923	0.999392	1.003048
0.000012	83333.333333	0.999436	1.002826
0.000011	90909.090909	0.999476	1.002628
0.000010	100000.000000	0.999511	1.002449
0.000010	103188.525436	0.999543	1.002288
0.000009	110179.482377	0.999572	1.002143
