N	Year	Span	Area	Material
1	1962	7.8	52	1
2	1962	16.8	198	2
3	1967	17.5	365	2
4	1973	8.5	72	1
5	1974	15.0	225	2
6	1974	6.0	82	2
7	1975	60.0	7400	2
8	1973	8.0	80	1
9	1976	7.0	63	2
10	1976	6.7	38	2
11	1977	6.0	62	2
12	1977	9.0	81	2
13	1977	7.3	58	1
14	1977	4.0	17	1
15	1995	0	0	2
16	1998	6.0	36	2
17	2000	35.0	2500	2
18	2002	16.0	720	2
19	2003	0	0	2
20	2006	24	2000	2
21	2007	5	50	2
22	2007	13.0	170	3
23	2011	15.0	280	3
24	2012	6.5	75	2
25	2013	17.5	350	3
26	2013	13.0	234	2
27	2014	12.0	144	2
28	2014	10.0	100	2
29	2015	3.4	10	3
30	2016	7.0	50	2
31	2016	7.0	50	2
32	2016	7.0	50	2
33	2016	10.0	100	2
