"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"
0.0	0.003114	0.031138	0.014937	0.044189	0.016804	0.049088	0.02734	0.033554	0.039768	0.038525	0.084507	0.057166	0.041011	0.076429	0.044739
0.5	0.009341	0.044839	0.018049	0.06535	0.030497	0.058409	0.03169	0.041011	0.054059	0.051574	0.115575	0.071458	0.047224	0.089478	0.056545
1.0	0.012455	0.056049	0.023028	0.085266	0.043566	0.065866	0.042253	0.04536	0.064001	0.06773	0.150994	0.07705	0.053438	0.096934	0.067108
1.5	0.012455	0.06975	0.028007	0.107049	0.055392	0.072701	0.052817	0.047846	0.072079	0.078914	0.183926	0.083885	0.055924	0.108119	0.075186
2.0	0.019929	0.079714	0.02614	0.129455	0.068462	0.082643	0.053438	0.050331	0.078293	0.093206	0.212509	0.091342	0.060273	0.114333	0.083885
2.5	0.01806	0.092792	0.024273	0.150616	0.082776	0.089478	0.064623	0.057166	0.086371	0.101284	0.244821	0.096313	0.065244	0.126139	0.091342
3.0	0.020551	0.105247	0.031741	0.172399	0.094601	0.095691	0.070215	0.065244	0.095691	0.115575	0.275268	0.106255	0.070836	0.138566	0.102527
3.5	0.024911	0.120194	0.037343	0.197916	0.108294	0.106876	0.07705	0.072079	0.102527	0.130488	0.30323	0.113711	0.077672	0.148508	0.109983
4.0	0.02927	0.13514	0.041699	0.218455	0.125098	0.115575	0.085128	0.0814	0.111226	0.146023	0.336163	0.120546	0.083264	0.163421	0.114954
4.5	0.035498	0.149464	0.047923	0.24086	0.141902	0.12676	0.092585	0.089478	0.121168	0.159071	0.364746	0.132974	0.09072	0.17647	0.125517
5.0	0.038611	0.165033	0.054147	0.263266	0.156217	0.137323	0.096313	0.100041	0.131731	0.177713	0.396436	0.143537	0.096934	0.19014	0.136702
5.5	0.044839	0.179357	0.060993	0.283804	0.172399	0.146023	0.108119	0.10874	0.139809	0.196354	0.427504	0.1541	0.104391	0.205053	0.150994
6.0	0.049199	0.196171	0.067217	0.30621	0.190448	0.159071	0.114954	0.119925	0.151615	0.214995	0.45733	0.164664	0.112468	0.22183	0.1628
