 "Disp"	"F1"	"F2"	"F3"
0.0	1.67	1.4	1.0
0.1	4.52	0.6	1.8
0.2	8.0	1.4	1.0
0.30000000000000004	11.76	1.2	0.2
0.4	15.6	2.23	0.8
0.5	24.4	4.0	1.5
0.6000000000000001	26.6	3.0	1.8
0.7000000000000001	29.0	3.2	3.73
0.8	35.0	5.8	4.74
0.9	44.4	6.8	5.8
1.0	48.8	7.4	6.0
1.1	53.92	7.2	10.0
1.2000000000000002	64.53	9.6	11.0
1.3	70.2	12.88	10.0
1.4000000000000001	77.0	15.8	9.8
1.5	84.2	18.4	10.6
1.6	93.0	21.0	11.2
1.7000000000000002	101.8	23.4	13.8
1.8	110.99	25.79	16.4
1.9000000000000001	117.42	29.2	18.68
2.0	127.2	35.0	21.0
2.1	136.8	40.08	26.7
2.2	146.2	45.76	28.8
2.3000000000000003	158.0	50.2	28.6
2.4000000000000004	165.8	54.6	32.6
2.5	177.0	61.8	36.4
2.6	189.01	74.6	41.8
2.7	199.76	84.8	46.4
2.8000000000000003	210.81	93.0	51.65
2.9000000000000004	221.0	99.42	55.4
3.0	236.38	105.6	58.29
3.1	244.78	110.0	64.8
3.2	256.41	117.48	67.6
3.3000000000000003	267.01	127.0	72.3
3.4000000000000004	278.61	135.6	81.0
3.5	287.22	148.02	86.0
3.6	298.0	159.2	93.2
3.7	312.2	169.4	100.32
3.8000000000000003	323.99	178.2	107.8
3.9000000000000004	332.79	188.6	116.85
4.0	343.39	201.4	123.2
4.1000000000000005	353.39	211.0	130.6
4.2	364.79	220.0	139.0
4.3	372.46	231.4	150.6
4.4	379.99	245.6	158.4
4.5	386.99	255.8	172.4
4.6000000000000005	396.12	267.4	182.4
4.7	405.79	279.0	190.0
4.800000000000001	413.19	289.45	199.0
4.9	421.19	305.0	209.0
5.0	431.59	315.74	219.8
5.1000000000000005	437.74	327.64	229.92
5.2	445.24	341.19	238.0
5.300000000000001	451.19	352.19	249.4
5.4	455.99	365.24	261.72
5.5	461.19	377.99	276.0
5.6000000000000005	466.39	389.79	287.0
5.7	468.34	406.79	297.2
5.800000000000001	473.79	417.59	308.2
5.9	478.59	436.79	319.79
6.0	486.99	447.99	332.99
6.1000000000000005	496.64	465.99	344.99
6.2	505.79	479.3	356.59
6.300000000000001	514.59	490.99	371.79
6.4	519.19	501.99	384.59
6.5	529.04	516.99	395.99
6.6000000000000005	536.19	531.83	407.59
6.7	543.59	546.59	418.49
6.800000000000001	550.49	559.79	427.99
6.9	556.99	575.99	443.79
7.0	567.79	591.39	460.99
7.1000000000000005	572.99	608.47	471.39
7.2	581.44	621.79	481.74
7.300000000000001	588.99	636.39	494.19
7.4	598.19	648.99	506.64
7.5	607.79	664.26	519.79
7.6000000000000005	615.19	679.19	532.79
7.7	620.79	692.99	545.39
7.800000000000001	627.23	709.19	562.99
7.9	634.59	726.99	573.99
8.0	640.39	740.59	584.19
8.1	646.99	756.59	594.3
8.200000000000001	652.99	771.89	610.79
8.3	661.39	788.99	624.99
8.4	671.79	803.76	640.79
8.5	678.16	820.87	655.19
8.6	685.81	838.79	669.59
8.700000000000001	698.79	851.99	686.39
8.8	709.39	872.79	699.59
8.9	718.39	887.39	713.39
9.0	722.6	903.02	729.99
9.1	730.39	920.6	745.21
9.200000000000001	737.39	938.39	765.59
9.3	743.19	954.41	781.39
9.4	748.0	973.8	796.59
9.5	760.39	994.21	814.39
9.600000000000001	770.39	1009.05	827.21
9.700000000000001	775.59	1022.98	844.59
9.8	779.79	1042.65	858.99
9.9	781.72	1062.17	877.99
10.0	784.99	1081.18	894.39
10.100000000000001	789.59	1101.98	909.99
10.200000000000001	796.02	1116.78	925.09
10.3	801.19	1134.51	944.48
10.4	810.59	1155.04	961.68
10.5	815.79	1173.58	979.48
10.600000000000001	821.19	1191.98	997.58
10.700000000000001	825.59	1210.98	1015.38
10.8	829.19	1230.38	1031.38
10.9	834.99	1243.18	1049.78
11.0	840.79	1262.18	1071.18
11.100000000000001	844.79	1287.18	1088.58
11.200000000000001	848.39	1301.98	1111.82
11.3	851.19	1318.73	1132.78
11.4	856.99	1339.18	1151.56
11.5	862.59	1360.33	1171.96
11.600000000000001	865.54	1379.98	1188.43
11.700000000000001	867.99	1398.18	1217.18
11.8	873.07	1413.58	1236.18
11.9	877.39	1434.98	1257.95
12.0	882.99	1454.83	1277.62
12.100000000000001	885.34	1470.13	1296.38
12.200000000000001	888.39	1482.78	1319.09
12.3	892.59	1502.38	1343.84
12.4	898.64	1521.08	1363.74
12.5	901.34	1536.38	1391.78
12.600000000000001	904.99	1549.38	1414.13
12.700000000000001	909.84	1567.98	1436.98
12.8	913.59	1584.77	1457.38
12.9	915.34	1602.17	1483.08
13.0	917.19	1609.77	1509.18
13.100000000000001	919.74	1622.57	1535.51
13.200000000000001	922.59	1637.37	1562.88
13.3	925.19	1651.97	1587.97
13.4	928.99	1664.57	1604.37
13.5	931.99	1676.77	1636.37
13.600000000000001	936.99	1690.37	1661.37
13.700000000000001	941.19	1699.77	1689.23
13.8	942.99	1708.77	1715.17
13.9	944.98	1720.97	1746.77
14.0	938.79	1732.77	1774.17
14.100000000000001	943.98	1741.97	1802.57
14.200000000000001	945.98	1743.17	1834.66
14.3	950.63	1746.97	1862.15
14.4	952.18	1759.57	1891.34
14.5	956.38	1769.01	1915.17
14.600000000000001	957.18	1774.77	1941.34
14.700000000000001	960.13	1782.17	1971.86
14.8	961.83	1793.01	2006.66
14.9	961.58	1799.77	2038.54
15.0	963.93	1802.17	2068.97
15.100000000000001	964.63	1809.45	2097.77
15.200000000000001	965.18	1815.17	2126.14
15.3	963.33	1820.97	2146.34
15.4	957.18	1823.37	2177.97
15.5	960.03	1826.17	2208.16
15.600000000000001	962.38	1833.37	2238.36
15.700000000000001	964.78	1837.97	2258.74
15.8	965.38	1839.77	2285.96
15.9	965.83	1842.77	2313.56
16.0	967.98	1844.17	2346.1
16.1	967.78	1847.57	2370.96
16.2	968.18	1849.97	2399.96
16.3	968.13	1847.57	2428.16
16.400000000000002	968.18	1852.17	2453.36
16.5	968.73	1853.8	2482.56
16.6	967.18	1857.97	2510.36
16.7	968.58	1859.97	2535.76
16.8	970.23	1862.77	2558.76
16.900000000000002	968.83	1864.77	2576.36
17.0	969.68	1864.0	2609.16
