EXT	 Tmin 	 Tmean 	 Tmax	Rmin	Rmean	Rmax 
1	-3.20	5.62	12.40	0.00	79.08	338.89
2	-1.60	7.09	18.30	0.00	123.05	536.11
3	0.40	8.02	18.40	0.00	220.14	675.00
4	2.70	11.05	21.40	11.11	347.75	836.11
5	5.40	14.33	24.80	19.44	421.89	902.78
6	8.40	18.08	31.10	22.22	445.92	916.67
7	9.10	19.49	33.00	38.89	459.97	913.89
8	11.40	19.75	32.40	33.33	406.72	830.56
9	5.60	15.58	24.10	5.56	296.27	727.78
10	2.60	11.86	21.00	0.00	178.82	588.89
11	-1.10	7.94	17.30	0.00	76.57	394.44
12	-3.50	5.53	13.20	0.00	58.61	302.78
