"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"
0.0	1.67	3.0	3.2	3.2	13.0	3.2
0.1	4.52	5.43	3.6	4.21	13.4	2.8
0.2	8.0	6.2	4.6	4.8	13.75	0.4
0.30000000000000004	11.76	6.4	3.85	4.4	14.49	1.4
0.4	15.6	9.4	3.0	2.67	15.32	2.8
0.5	24.4	11.4	6.0	4.4	14.8	6.25
0.6000000000000001	26.6	13.8	9.55	6.2	15.2	6.4
0.7000000000000001	29.0	16.4	10.6	11.4	17.0	4.0
0.8	35.0	20.0	12.8	13.0	17.8	4.63
0.9	44.4	24.4	11.4	13.11	20.9	8.01
1.0	48.8	29.4	11.8	16.0	22.4	8.4
1.1	53.92	38.4	11.0	22.6	24.4	7.6
1.2000000000000002	64.53	40.51	10.2	25.0	26.8	7.0
1.3	70.2	47.4	9.4	28.4	30.0	6.8
1.4000000000000001	77.0	53.0	10.8	32.8	31.6	9.0
1.5	84.2	58.0	10.2	36.4	34.8	5.81
1.6	93.0	63.0	11.2	42.2	41.0	4.4
1.7000000000000002	101.8	70.67	13.0	47.0	46.6	4.8
1.8	110.99	79.4	13.2	52.8	52.8	5.0
1.9000000000000001	117.42	89.2	14.2	57.2	57.4	8.6
2.0	127.2	94.0	17.04	61.0	59.86	6.2
2.1	136.8	102.47	16.8	65.91	65.6	7.46
2.2	146.2	109.4	19.0	72.4	72.6	7.2
2.3000000000000003	158.0	119.8	20.8	78.2	82.0	8.4
2.4000000000000004	165.8	128.2	22.8	86.69	87.0	8.0
2.5	177.0	136.6	26.0	94.4	95.8	8.65
2.6	189.01	145.2	30.0	100.2	102.4	9.25
2.7	199.76	152.56	34.0	109.8	108.05	12.0
2.8000000000000003	210.81	159.4	36.0	117.6	116.0	12.4
2.9000000000000004	221.0	165.11	39.64	125.2	124.4	16.6
3.0	236.38	177.71	46.6	133.0	133.4	19.6
3.1	244.78	186.0	51.0	141.34	141.0	22.0
3.2	256.41	196.2	56.2	150.0	152.6	22.8
3.3000000000000003	267.01	206.0	64.4	159.0	162.6	25.2
3.4000000000000004	278.61	215.8	68.8	168.8	171.4	28.4
3.5	287.22	224.0	75.0	176.2	180.0	30.2
3.6	298.0	234.0	84.2	186.0	189.0	32.2
3.7	312.2	241.61	87.52	193.4	198.2	36.4
3.8000000000000003	323.99	251.2	95.4	200.6	207.32	41.6
3.9000000000000004	332.79	261.6	101.4	209.2	217.45	47.2
4.0	343.39	270.02	108.65	217.8	227.0	49.8
4.1000000000000005	353.39	279.0	116.6	227.0	237.8	54.4
4.2	364.79	287.4	123.24	235.2	248.46	58.8
4.3	372.46	297.8	129.2	242.0	256.4	62.0
4.4	379.99	306.0	138.24	252.2	266.2	63.33
4.5	386.99	315.59	146.8	261.8	276.8	71.0
4.6000000000000005	396.12	323.79	154.0	270.8	285.84	80.2
4.7	405.79	331.01	164.2	278.0	296.6	87.8
4.800000000000001	413.19	338.19	170.0	286.0	306.0	93.2
4.9	421.19	343.59	181.8	294.0	316.27	100.55
5.0	431.59	351.19	188.2	301.68	327.39	107.8
5.1000000000000005	437.74	357.99	197.4	309.2	337.69	114.4
5.2	445.24	364.99	206.0	318.79	347.79	119.75
5.300000000000001	451.19	374.79	214.82	325.79	357.79	124.2
5.4	455.99	382.92	224.4	332.39	369.79	127.4
5.5	461.19	388.79	235.0	338.79	378.79	132.0
5.6000000000000005	466.39	395.83	246.4	346.39	389.99	140.8
5.7	468.34	404.99	259.01	351.39	399.19	146.6
5.800000000000001	473.79	413.99	268.8	357.02	408.19	154.8
5.9	478.59	421.19	279.8	366.19	418.62	161.2
6.0	486.99	426.19	289.0	373.37	428.79	166.2
6.1000000000000005	496.64	431.34	297.8	378.99	437.79	174.7
6.2	505.79	439.59	309.0	385.19	445.19	179.45
6.300000000000001	514.59	445.99	319.19	390.39	450.39	187.45
6.4	519.19	451.79	331.19	398.82	458.79	193.95
6.5	529.04	457.99	342.79	404.99	465.99	198.85
6.6000000000000005	536.19	465.59	353.79	411.08	474.39	205.45
6.7	543.59	476.19	363.99	417.79	478.99	211.2
6.800000000000001	550.49	483.19	374.79	428.19	480.99	216.7
6.9	556.99	489.99	383.79	431.99	484.59	221.4
7.0	567.79	496.99	396.39	435.99	488.79	226.0
7.1000000000000005	572.99	501.99	407.39	443.99	491.39	230.45
7.2	581.44	508.99	415.99	449.59	493.99	235.95
7.300000000000001	588.99	515.99	426.19	456.79	497.19	239.65
7.4	598.19	523.99	436.79	462.59	501.39	243.35
7.5	607.79	533.99	447.99	466.88	500.99	246.8
7.6000000000000005	615.19	538.79	459.59	472.79	500.48	250.8
7.7	620.79	547.79	470.79	477.79	501.79	255.0
7.800000000000001	627.23	553.99	483.79	482.99	504.19	257.75
7.9	634.59	559.99	492.99	489.22	505.99	261.6
8.0	640.39	569.99	504.39	494.59	507.59	264.6
8.1	646.99	574.44	516.45	498.99	508.59	266.85
8.200000000000001	652.99	583.79	526.19	503.87	508.47	269.0
8.3	661.39	590.39	536.99	508.99	510.99	271.2
8.4	671.79	596.99	548.79	513.71	513.99	272.8
8.5	678.16	605.19	561.79	518.39	516.19	275.0
8.6	685.81	613.6	574.64	524.19	516.99	277.75
8.700000000000001	698.79	620.7	582.39	529.39	518.99	279.25
8.8	709.39	628.59	593.64	535.19	523.39	283.15
8.9	718.39	635.79	602.39	542.99	527.84	284.8
9.0	722.6	643.39	610.19	548.99	530.19	290.8
9.1	730.39	649.99	621.59	554.99	532.79	292.5
9.200000000000001	737.39	659.39	629.99	561.99	532.39	290.8
9.3	743.19	666.59	640.99	565.99	532.19	292.55
9.4	748.0	672.99	647.79	569.59	535.99	294.4
9.5	760.39	681.79	659.04	573.6	536.39	296.4
9.600000000000001	770.39	689.2	669.79	577.19	537.39	297.85
9.700000000000001	775.59	696.39	678.39	583.19	535.99	301.2
9.8	779.79	704.59	687.79	589.39	535.99	303.0
9.9	781.72	712.19	696.99	592.79	538.79	307.6
10.0	784.99	719.39	707.79	598.27	538.39	308.82
10.100000000000001	789.59	725.78	717.79	601.79	535.99	311.42
10.200000000000001	796.02	733.79	724.39	604.59	537.99	315.39
10.3	801.19	742.19	730.39	607.99	537.19	315.79
10.4	810.59	751.39	736.19	612.4	536.99	318.19
10.5	815.79	762.39	740.99	617.39	535.09	318.99
10.600000000000001	821.19	769.2	747.59	622.59	536.39	321.57
10.700000000000001	825.59	777.59	751.99	627.19	538.59	324.79
10.8	829.19	782.39	753.64	630.99	537.99	325.82
10.9	834.99	790.46	755.99	634.99	536.19	325.99
11.0	840.79	798.79	757.99	639.06	534.69	327.42
11.100000000000001	844.79	806.39	759.99	643.91	533.18	329.59
11.200000000000001	848.39	815.99	762.84	646.99	532.99	336.79
11.3	851.19	825.39	767.79	653.19	533.59	338.79
11.4	856.99	834.99	768.79	658.34	533.09	339.39
11.5	862.59	841.99	773.79	663.91	532.79	341.99
11.600000000000001	865.54	847.99	774.39	667.91	535.39	341.22
11.700000000000001	867.99	857.59	774.99	671.59	534.79	345.71
11.8	873.07	864.19	773.39	677.39	532.99	344.59
11.9	877.39	871.86	774.79	684.99	532.99	343.62
12.0	882.99	879.99	779.99	688.26	534.52	344.19
12.100000000000001	885.34	887.99	782.39	694.19	535.59	346.19
12.200000000000001	888.39	894.79	781.39	697.19	534.59	347.39
12.3	892.59	901.19	781.59	702.19	532.79	347.79
12.4	898.64	910.79	782.79	707.06	533.72	350.02
12.5	901.34	919.59	781.69	709.99	533.79	351.39
12.600000000000001	904.99	927.79	784.19	715.99	532.39	353.59
