D	F
0.000000	0.000000
0.005000	0.031999
0.011000	0.083186
0.016000	0.116665
0.021000	0.150998
0.027000	0.180997
0.032000	0.212997
0.037000	0.241596
0.042000	0.272996
0.048000	0.301558
0.053000	0.334995
0.058000	0.363994
0.064000	0.395994
0.069000	0.428993
0.074000	0.459993
0.080000	0.493430
0.085000	0.522992
0.090000	0.556991
0.095000	0.589991
0.101000	0.622990
0.106000	0.654990
0.112000	0.688989
0.117000	0.721589
0.122000	0.753988
0.128000	0.788487
0.133000	0.820237
0.138000	0.852986
0.144000	0.886173
0.149000	0.919985
0.154000	0.958118
0.160000	0.997984
0.165000	1.038233
0.170000	1.079983
0.176000	1.119982
0.181000	1.162982
0.186000	1.200981
0.192000	1.244980
0.197000	1.283980
0.202000	1.326979
0.208000	1.367916
0.213000	1.408978
0.218000	1.448977
0.223000	1.489976
0.229000	1.528976
0.234000	1.572642
0.239000	1.611974
0.245000	1.662974
0.250000	1.701973
0.255000	1.745239
0.261000	1.785972
0.266000	1.827221
0.271000	1.865970
0.277000	1.908157
0.282000	1.948969
0.288000	1.992968
0.293000	2.032968
0.298000	2.073967
0.303000	2.113966
0.309000	2.156966
0.314000	2.194965
0.319000	2.235964
0.325000	2.275964
0.330000	2.313963
0.335000	2.355963
0.341000	2.396899
0.346000	2.436961
0.351000	2.477894
0.357000	2.518335
0.362000	2.556959
0.367000	2.598292
0.373000	2.640771
0.378000	2.682957
0.383000	2.720957
0.389000	2.760956
0.394000	2.800455
0.399000	2.842955
0.405000	2.881954
0.410000	2.922954
0.415000	2.963620
0.421000	3.004952
0.426000	3.044952
0.431000	3.085076
0.437000	3.125550
0.442000	3.168950
0.447000	3.208511
0.453000	3.249948
0.458000	3.293948
0.463000	3.332947
0.469000	3.375946
0.474000	3.415946
0.479000	3.451945
0.485000	3.491944
0.490000	3.536944
0.495000	3.580943
0.501000	3.622276
0.506000	3.665567
0.511000	3.709254
0.517000	3.752540
0.522000	3.795940
0.527000	3.836939
0.533000	3.881438
0.538000	3.925938
0.544000	3.969937
0.549000	4.011936
0.554000	4.057935
0.559000	4.098935
0.565000	4.144934
0.570000	4.186933
0.575000	4.236933
0.581000	4.277932
0.586000	4.320931
0.592000	4.364931
0.597000	4.408930
0.602000	4.450863
0.607000	4.495804
0.613000	4.538928
0.618000	4.584860
0.623000	4.628926
0.629000	4.673926
0.634000	4.719258
0.639000	4.763924
0.645000	4.813923
0.650000	4.855923
0.656000	4.906922
0.661000	4.951921
0.666000	5.000920
0.671000	5.047920
0.677000	5.098919
0.682000	5.144918
0.688000	5.193917
0.693000	5.241917
0.698000	5.289916
0.703000	5.336915
0.709000	5.384914
0.714000	5.432039
0.719000	5.480913
0.725000	5.528912
0.730000	5.578911
0.735000	5.627844
0.741000	5.676910
0.746000	5.726784
0.751000	5.774908
0.757000	5.827907
0.762000	5.875907
0.767000	5.926906
0.773000	5.973905
0.778000	6.024904
0.783000	6.070903
0.789000	6.119903
0.794000	6.166902
0.799000	6.217901
0.805000	6.267963
0.810000	6.317900
0.815000	6.367232
0.821000	6.415165
0.826000	6.464522
0.831000	6.514896
0.837000	6.561496
0.842000	6.613895
0.847000	6.659019
0.853000	6.710893
0.858000	6.759393
0.863000	6.812892
0.868000	6.861358
0.874000	6.905890
0.879000	6.957889
0.884000	7.001889
0.890000	7.055263
0.895000	7.101887
0.900000	7.155220
0.906000	7.202510
0.911000	7.251885
0.916000	7.301884
0.921000	7.346150
0.926000	7.392882
0.931000	7.431132
0.935000	7.471881
0.940000	7.514256
0.947000	7.578879
0.953000	7.647145
0.958000	7.691878
0.963000	7.736127
0.968000	7.777876
0.973000	7.825876
0.978000	7.865875
0.983000	7.921874
0.989000	7.971873
0.996000	8.043872
1.002000	8.095871
1.007000	8.138746
1.011000	8.176870
1.016000	8.215803
1.020000	8.252244
1.026000	8.303868
1.031000	8.350867
