t	s	tau	k1	k2
0.0014	0.4562	9.174E-07	-1.223E-04	4.929E-02
0.0043	1.369	9.120E-07	-3.659E-04	4.919E-02
0.0072	2.2819	9.065E-07	-6.081E-04	4.909E-02
0.0101	3.1947	9.011E-07	-8.488E-04	4.899E-02
0.0129	4.1076	8.957E-07	-1.088E-03	4.889E-02
0.0158	5.0204	8.901E-07	-1.326E-03	4.879E-02
0.0186	5.9333	8.850E-07	-1.562E-03	4.868E-02
0.0215	6.8461	8.800E-07	-1.797E-03	4.858E-02
0.0243	7.759	8.748E-07	-2.031E-03	4.847E-02
0.0272	8.6718	8.696E-07	-2.263E-03	4.837E-02
0.03	9.5847	8.644E-07	-2.493E-03	4.826E-02
0.0328	10.4975	8.590E-07	-2.723E-03	4.815E-02
0.0356	11.4104	8.536E-07	-2.950E-03	4.805E-02
0.0384	12.3232	8.495E-07	-3.177E-03	4.794E-02
0.0412	13.2361	8.446E-07	-3.402E-03	4.783E-02
0.044	14.1489	8.396E-07	-3.625E-03	4.772E-02
0.0468	15.0618	8.346E-07	-3.847E-03	4.761E-02
0.0496	15.9746	8.295E-07	-4.068E-03	4.750E-02
0.0524	16.8875	8.239E-07	-4.288E-03	4.739E-02
0.0552	17.8003	8.199E-07	-4.506E-03	4.727E-02
0.058	18.7132	8.157E-07	-4.722E-03	4.716E-02
0.0607	19.626	8.110E-07	-4.938E-03	4.705E-02
0.0635	20.5389	8.063E-07	-5.151E-03	4.693E-02
0.0663	21.4517	8.014E-07	-5.364E-03	4.682E-02
0.069	22.3646	7.962E-07	-5.575E-03	4.670E-02
0.0718	23.2774	7.908E-07	-5.785E-03	4.659E-02
0.0745	24.1903	7.881E-07	-5.994E-03	4.647E-02
0.0772	25.1031	7.836E-07	-6.201E-03	4.636E-02
0.08	26.016	7.792E-07	-6.407E-03	4.624E-02
0.0827	26.9288	7.746E-07	-6.611E-03	4.612E-02
0.0854	27.8416	7.698E-07	-6.814E-03	4.600E-02
0.0881	28.7545	7.644E-07	-7.016E-03	4.588E-02
0.0909	29.6673	7.602E-07	-7.217E-03	4.577E-02
0.0936	30.5802	7.575E-07	-7.416E-03	4.565E-02
0.0963	31.493	7.533E-07	-7.614E-03	4.552E-02
0.099	32.4059	7.490E-07	-7.810E-03	4.540E-02
0.1016	33.3187	7.445E-07	-8.006E-03	4.528E-02
0.1043	34.2316	7.397E-07	-8.200E-03	4.516E-02
0.107	35.1444	7.341E-07	-8.393E-03	4.504E-02
0.1097	36.0573	7.314E-07	-8.584E-03	4.492E-02
0.1124	36.9701	7.284E-07	-8.774E-03	4.479E-02
0.115	37.883	7.244E-07	-8.963E-03	4.467E-02
0.1177	38.7958	7.203E-07	-9.151E-03	4.455E-02
0.1204	39.7087	7.160E-07	-9.337E-03	4.442E-02
0.123	40.6215	7.111E-07	-9.523E-03	4.430E-02
0.1257	41.5344	7.054E-07	-9.707E-03	4.417E-02
0.1283	42.4472	7.042E-07	-9.889E-03	4.405E-02
0.1309	43.3601	7.009E-07	-1.007E-02	4.392E-02
0.1336	44.2729	6.970E-07	-1.025E-02	4.380E-02
0.1362	45.1858	6.931E-07	-1.043E-02	4.367E-02
0.1388	46.0986	6.888E-07	-1.061E-02	4.354E-02
0.1414	47.0115	6.841E-07	-1.078E-02	4.342E-02
0.144	47.9243	6.782E-07	-1.096E-02	4.329E-02
0.1467	48.8372	6.781E-07	-1.113E-02	4.316E-02
0.1493	49.75	6.746E-07	-1.131E-02	4.303E-02
0.1519	50.6629	6.710E-07	-1.148E-02	4.291E-02
0.1545	51.5757	6.672E-07	-1.165E-02	4.278E-02
0.157	52.4886	6.631E-07	-1.182E-02	4.265E-02
0.1596	53.4014	6.584E-07	-1.199E-02	4.252E-02
0.1622	54.3142	6.525E-07	-1.215E-02	4.239E-02
0.1648	55.2271	6.529E-07	-1.232E-02	4.226E-02
0.1674	56.1399	6.497E-07	-1.248E-02	4.213E-02
0.1699	57.0528	6.462E-07	-1.265E-02	4.200E-02
0.1725	57.9656	6.426E-07	-1.281E-02	4.187E-02
0.175	58.8785	6.387E-07	-1.297E-02	4.174E-02
0.1776	59.7913	6.342E-07	-1.313E-02	4.161E-02
0.1801	60.7042	6.285E-07	-1.329E-02	4.148E-02
0.1827	61.617	6.283E-07	-1.345E-02	4.134E-02
0.1852	62.5299	6.260E-07	-1.360E-02	4.121E-02
0.1878	63.4427	6.227E-07	-1.376E-02	4.108E-02
0.1903	64.3556	6.193E-07	-1.391E-02	4.095E-02
0.1928	65.2684	6.156E-07	-1.407E-02	4.082E-02
0.1953	66.1813	6.113E-07	-1.422E-02	4.068E-02
0.1979	67.0941	6.059E-07	-1.437E-02	4.055E-02
0.2004	68.007	6.044E-07	-1.452E-02	4.042E-02
0.2029	68.9198	6.034E-07	-1.467E-02	4.029E-02
0.2054	69.8327	6.003E-07	-1.482E-02	4.015E-02
0.2079	70.7455	5.971E-07	-1.496E-02	4.002E-02
0.2104	71.6584	5.936E-07	-1.511E-02	3.988E-02
0.2129	72.5712	5.896E-07	-1.525E-02	3.975E-02
0.2154	73.4841	5.846E-07	-1.540E-02	3.962E-02
0.2179	74.3969	5.811E-07	-1.554E-02	3.948E-02
0.2203	75.3098	5.819E-07	-1.568E-02	3.935E-02
0.2228	76.2226	5.789E-07	-1.582E-02	3.921E-02
0.2253	77.1355	5.759E-07	-1.596E-02	3.908E-02
0.2277	78.0483	5.727E-07	-1.610E-02	3.894E-02
0.2302	78.9612	5.691E-07	-1.624E-02	3.881E-02
0.2327	79.874	5.646E-07	-1.637E-02	3.868E-02
0.2351	80.7868	5.586E-07	-1.651E-02	3.854E-02
0.2376	81.6997	5.614E-07	-1.664E-02	3.841E-02
0.24	82.6126	5.586E-07	-1.677E-02	3.827E-02
0.2424	83.5254	5.557E-07	-1.691E-02	3.813E-02
0.2449	84.4382	5.528E-07	-1.704E-02	3.800E-02
0.2473	85.3511	5.495E-07	-1.717E-02	3.786E-02
0.2497	86.2639	5.455E-07	-1.730E-02	3.773E-02
0.2522	87.1768	5.404E-07	-1.742E-02	3.759E-02
0.2546	88.0896	5.385E-07	-1.755E-02	3.746E-02
0.257	89.0025	5.392E-07	-1.768E-02	3.732E-02
0.2594	89.9153	5.365E-07	-1.780E-02	3.719E-02
0.2618	90.8282	5.337E-07	-1.793E-02	3.705E-02
0.2642	91.741	5.308E-07	-1.805E-02	3.691E-02
0.2666	92.6539	5.273E-07	-1.817E-02	3.678E-02
0.269	93.5667	5.230E-07	-1.829E-02	3.664E-02
0.2714	94.4796	5.172E-07	-1.841E-02	3.651E-02
0.2738	95.3924	5.203E-07	-1.853E-02	3.637E-02
0.2762	96.3053	5.181E-07	-1.865E-02	3.623E-02
0.2786	97.2181	5.155E-07	-1.877E-02	3.610E-02
0.281	98.131	5.128E-07	-1.888E-02	3.596E-02
0.2833	99.0438	5.098E-07	-1.900E-02	3.582E-02
0.2857	99.9567	5.063E-07	-1.911E-02	3.569E-02
0.2881	100.8695	5.016E-07	-1.923E-02	3.555E-02
0.2904	101.7824	4.980E-07	-1.934E-02	3.542E-02
0.2928	102.6952	5.005E-07	-1.945E-02	3.528E-02
0.2951	103.6081	4.981E-07	-1.956E-02	3.514E-02
0.2975	104.5209	4.956E-07	-1.967E-02	3.501E-02
0.2998	105.4338	4.930E-07	-1.978E-02	3.487E-02
0.3022	106.3466	4.900E-07	-1.989E-02	3.473E-02
0.3045	107.2595	4.863E-07	-2.000E-02	3.460E-02
0.3068	108.1723	4.813E-07	-2.010E-02	3.446E-02
0.3092	109.0852	4.801E-07	-2.021E-02	3.432E-02
0.3115	109.998	4.814E-07	-2.031E-02	3.419E-02
0.3138	110.9108	4.791E-07	-2.042E-02	3.405E-02
0.3161	111.8237	4.767E-07	-2.052E-02	3.391E-02
0.3185	112.7365	4.741E-07	-2.062E-02	3.378E-02
0.3208	113.6494	4.712E-07	-2.072E-02	3.364E-02
0.3231	114.5622	4.674E-07	-2.082E-02	3.351E-02
0.3254	115.4751	4.622E-07	-2.092E-02	3.337E-02
0.3277	116.3879	4.628E-07	-2.102E-02	3.323E-02
0.33	117.3008	4.633E-07	-2.112E-02	3.310E-02
0.3323	118.2136	4.611E-07	-2.121E-02	3.296E-02
0.3346	119.1265	4.588E-07	-2.131E-02	3.283E-02
0.3369	120.0393	4.563E-07	-2.140E-02	3.269E-02
0.3391	120.9522	4.534E-07	-2.150E-02	3.255E-02
0.3414	121.865	4.496E-07	-2.159E-02	3.242E-02
0.3437	122.7779	4.444E-07	-2.168E-02	3.228E-02
0.346	123.6907	4.457E-07	-2.178E-02	3.215E-02
0.3482	124.6036	4.460E-07	-2.187E-02	3.201E-02
0.3505	125.5164	4.439E-07	-2.196E-02	3.188E-02
0.3528	126.4293	4.417E-07	-2.205E-02	3.174E-02
0.355	127.3421	4.394E-07	-2.213E-02	3.161E-02
0.3573	128.255	4.365E-07	-2.222E-02	3.147E-02
0.3595	129.1678	4.329E-07	-2.231E-02	3.134E-02
0.3618	130.0807	4.280E-07	-2.240E-02	3.120E-02
0.364	130.9935	4.287E-07	-2.248E-02	3.107E-02
0.3663	131.9064	4.296E-07	-2.256E-02	3.093E-02
0.3685	132.8192	4.276E-07	-2.265E-02	3.080E-02
0.3707	133.7321	4.255E-07	-2.273E-02	3.066E-02
0.373	134.6449	4.233E-07	-2.281E-02	3.053E-02
0.3752	135.5578	4.207E-07	-2.289E-02	3.039E-02
0.3774	136.4706	4.173E-07	-2.298E-02	3.026E-02
0.3796	137.3834	4.127E-07	-2.306E-02	3.012E-02
0.3818	138.2963	4.118E-07	-2.313E-02	2.999E-02
0.384	139.2091	4.140E-07	-2.321E-02	2.985E-02
0.3863	140.122	4.121E-07	-2.329E-02	2.972E-02
0.3885	141.0348	4.102E-07	-2.337E-02	2.959E-02
0.3907	141.9477	4.081E-07	-2.344E-02	2.945E-02
0.3929	142.8605	4.056E-07	-2.352E-02	2.932E-02
0.3951	143.7734	4.026E-07	-2.359E-02	2.919E-02
0.3973	144.6862	3.984E-07	-2.367E-02	2.905E-02
0.3994	145.5991	3.951E-07	-2.374E-02	2.892E-02
0.4016	146.5119	3.991E-07	-2.381E-02	2.879E-02
0.4038	147.4248	3.973E-07	-2.389E-02	2.865E-02
0.406	148.3376	3.955E-07	-2.396E-02	2.852E-02
0.4082	149.2505	3.936E-07	-2.403E-02	2.839E-02
0.4103	150.1633	3.914E-07	-2.410E-02	2.825E-02
0.4125	151.0762	3.887E-07	-2.416E-02	2.812E-02
0.4147	151.989	3.850E-07	-2.423E-02	2.799E-02
0.4168	152.9019	3.800E-07	-2.430E-02	2.786E-02
0.419	153.8147	3.838E-07	-2.437E-02	2.773E-02
0.4212	154.7276	3.833E-07	-2.443E-02	2.759E-02
0.4233	155.6404	3.815E-07	-2.450E-02	2.746E-02
0.4255	156.5533	3.797E-07	-2.456E-02	2.733E-02
0.4276	157.4661	3.778E-07	-2.463E-02	2.720E-02
0.4297	158.379	3.754E-07	-2.469E-02	2.707E-02
0.4319	159.2918	3.724E-07	-2.475E-02	2.694E-02
0.434	160.2046	3.682E-07	-2.482E-02	2.681E-02
0.4362	161.1175	3.667E-07	-2.488E-02	2.668E-02
0.4383	162.0304	3.698E-07	-2.494E-02	2.655E-02
0.4404	162.9432	3.682E-07	-2.500E-02	2.641E-02
0.4425	163.8561	3.665E-07	-2.506E-02	2.628E-02
0.4447	164.7689	3.648E-07	-2.512E-02	2.615E-02
0.4468	165.6817	3.627E-07	-2.517E-02	2.602E-02
0.4489	166.5946	3.602E-07	-2.523E-02	2.589E-02
0.451	167.5074	3.569E-07	-2.529E-02	2.576E-02
0.4531	168.4203	3.522E-07	-2.535E-02	2.564E-02
0.4552	169.3331	3.554E-07	-2.540E-02	2.551E-02
0.4573	170.246	3.555E-07	-2.546E-02	2.538E-02
0.4594	171.1588	3.539E-07	-2.551E-02	2.525E-02
0.4615	172.0717	3.523E-07	-2.556E-02	2.512E-02
0.4636	172.9845	3.506E-07	-2.562E-02	2.499E-02
0.4657	173.8974	3.485E-07	-2.567E-02	2.486E-02
