N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0619	0.0372	0.0608	0.6011	0.9826	39.8944	1.7411
3	0.0619	0.0498	0.0605	0.805	0.9783	19.4961	2.1652
4	0.0619	0.0547	0.0617	0.8839	0.9968	11.6123	0.3233
5	0.0619	0.0571	0.0619	0.9237	0.9999	7.6307	0.012
6	0.0619	0.0585	0.0619	0.9462	1.0007	5.3788	0.0675
7	0.0619	0.0594	0.0619	0.9601	1.0008	3.9891	0.082
8	0.0619	0.06	0.0619	0.9693	1.0008	3.0741	0.0779
9	0.0619	0.0604	0.0619	0.9756	1.0007	2.4407	0.0688
10	0.0619	0.0606	0.0619	0.9802	1.0006	1.9845	0.0593
11	0.0619	0.0609	0.0619	0.9835	1.0005	1.6453	0.0505
12	0.0619	0.061	0.0619	0.9861	1.0004	1.3864	0.0429
13	0.0619	0.0611	0.0619	0.9882	1.0004	1.1844	0.0364
14	0.0619	0.0612	0.0619	0.9898	1.0003	1.0237	0.0309
15	0.0619	0.0613	0.0619	0.9911	1.0003	0.8938	0.0262
16	0.0619	0.0614	0.0619	0.9921	1.0002	0.7874	0.0222
17	0.0619	0.0614	0.0619	0.993	1.0002	0.6991	0.0188
18	0.0619	0.0615	0.0619	0.9937	1.0002	0.625	0.0159
19	0.0619	0.0615	0.0619	0.9944	1.0001	0.5623	0.0134
20	0.0619	0.0616	0.0619	0.9949	1.0001	0.5086	0.0112
21	0.0619	0.0616	0.0619	0.9954	1.0001	0.4625	0.0093
22	0.0619	0.0616	0.0619	0.9958	1.0001	0.4224	0.0076
23	0.0619	0.0616	0.0619	0.9961	1.0001	0.3875	0.0061
24	0.0619	0.0616	0.0619	0.9964	1.0	0.3568	0.0048
25	0.0619	0.0617	0.0619	0.9967	1.0	0.3297	0.0037
26	0.0619	0.0617	0.0619	0.9969	1.0	0.3057	0.0026
27	0.0619	0.0617	0.0619	0.9972	1.0	0.2843	0.0017
28	0.0619	0.0617	0.0619	0.9973	1.0	0.2652	0.0008
29	0.0619	0.0617	0.0619	0.9975	1.0	0.2479	6.9e-05
30	0.0619	0.0617	0.0619	0.9977	1.0	0.2324	0.0006
31	0.0619	0.0617	0.0619	0.9978	1.0	0.2184	0.0012
32	0.0619	0.0617	0.0619	0.9979	1.0	0.2056	0.0018
33	0.0619	0.0617	0.0619	0.9981	1.0	0.194	0.0023
34	0.0619	0.0618	0.0619	0.9982	1.0	0.1834	0.0028
35	0.0619	0.0618	0.0619	0.9983	1.0	0.1736	0.0032
36	0.0619	0.0618	0.0619	0.9984	1.0	0.1647	0.0036
37	0.0619	0.0618	0.0619	0.9984	1.0	0.1565	0.004
38	0.0619	0.0618	0.0619	0.9985	1.0	0.1489	0.0043
39	0.0619	0.0618	0.0619	0.9986	1.0	0.142	0.0047
40	0.0619	0.0618	0.0619	0.9986	1.0	0.1355	0.005
41	0.0619	0.0618	0.0619	0.9987	0.9999	0.1295	0.0052
42	0.0619	0.0618	0.0619	0.9988	0.9999	0.1239	0.0055
43	0.0619	0.0618	0.0619	0.9988	0.9999	0.1187	0.0057
44	0.0619	0.0618	0.0619	0.9989	0.9999	0.1138	0.0059
45	0.0619	0.0618	0.0619	0.9989	0.9999	0.1093	0.0062
46	0.0619	0.0618	0.0619	0.9989	0.9999	0.1051	0.0064
47	0.0619	0.0618	0.0619	0.999	0.9999	0.1011	0.0065
48	0.0619	0.0618	0.0619	0.999	0.9999	0.0974	0.0067
49	0.0619	0.0618	0.0619	0.9991	0.9999	0.0939	0.0069
50	0.0619	0.0618	0.0619	0.9991	0.9999	0.0906	0.007
