N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.0524	0.0471	0.0943	0.9003	1.8006	9.9684	80.0633
3	0.0524	0.05	0.0667	0.9549	1.2732	4.507	27.324
4	0.0524	0.051	0.0598	0.9745	1.1417	2.5505	14.1692
5	0.0524	0.0515	0.0569	0.9836	1.0875	1.6368	8.7476
6	0.0524	0.0518	0.0555	0.9886	1.0596	1.1384	5.9595
7	0.0524	0.0519	0.0546	0.9916	1.0433	0.8371	4.3288
8	0.0524	0.052	0.0541	0.9936	1.0329	0.6413	3.2899
9	0.0524	0.0521	0.0537	0.9949	1.0259	0.5069	2.5864
10	0.0524	0.0521	0.0535	0.9959	1.0209	0.4107	2.0875
11	0.0524	0.0522	0.0533	0.9966	1.0172	0.3395	1.7207
12	0.0524	0.0522	0.0531	0.9971	1.0144	0.2853	1.443
13	0.0524	0.0522	0.053	0.9976	1.0123	0.2432	1.2276
14	0.0524	0.0523	0.0529	0.9979	1.0106	0.2097	1.0572
15	0.0524	0.0523	0.0528	0.9982	1.0092	0.1827	0.92
16	0.0524	0.0523	0.0528	0.9984	1.0081	0.1606	0.8079
17	0.0524	0.0523	0.0527	0.9986	1.0072	0.1422	0.7152
18	0.0524	0.0523	0.0527	0.9987	1.0064	0.1269	0.6376
19	0.0524	0.0523	0.0527	0.9989	1.0057	0.1139	0.572
20	0.0524	0.0523	0.0526	0.999	1.0052	0.1028	0.516
21	0.0524	0.0523	0.0526	0.9991	1.0047	0.0932	0.4678
22	0.0524	0.0523	0.0526	0.9992	1.0043	0.0849	0.4262
23	0.0524	0.0523	0.0526	0.9992	1.0039	0.0777	0.3898
24	0.0524	0.0523	0.0525	0.9993	1.0036	0.0714	0.3579
25	0.0524	0.0523	0.0525	0.9993	1.0033	0.0658	0.3298
26	0.0524	0.0523	0.0525	0.9994	1.003	0.0608	0.3048
27	0.0524	0.0523	0.0525	0.9994	1.0028	0.0564	0.2826
28	0.0524	0.0523	0.0525	0.9995	1.0026	0.0524	0.2628
29	0.0524	0.0523	0.0525	0.9995	1.0024	0.0489	0.2449
30	0.0524	0.0523	0.0525	0.9995	1.0023	0.0457	0.2288
31	0.0524	0.0523	0.0525	0.9996	1.0021	0.0428	0.2143
32	0.0524	0.0523	0.0525	0.9996	1.002	0.0402	0.2011
33	0.0524	0.0523	0.0525	0.9996	1.0019	0.0378	0.1891
34	0.0524	0.0523	0.0525	0.9996	1.0018	0.0356	0.1781
35	0.0524	0.0523	0.0524	0.9997	1.0017	0.0336	0.1681
36	0.0524	0.0523	0.0524	0.9997	1.0016	0.0317	0.1588
37	0.0524	0.0523	0.0524	0.9997	1.0015	0.03	0.1504
38	0.0524	0.0523	0.0524	0.9997	1.0014	0.0285	0.1425
39	0.0524	0.0523	0.0524	0.9997	1.0014	0.027	0.1353
40	0.0524	0.0523	0.0524	0.9997	1.0013	0.0257	0.1286
41	0.0524	0.0523	0.0524	0.9998	1.0012	0.0245	0.1224
42	0.0524	0.0523	0.0524	0.9998	1.0012	0.0233	0.1167
43	0.0524	0.0523	0.0524	0.9998	1.0011	0.0222	0.1113
44	0.0524	0.0523	0.0524	0.9998	1.0011	0.0212	0.1063
45	0.0524	0.0523	0.0524	0.9998	1.001	0.0203	0.1016
46	0.0524	0.0523	0.0524	0.9998	1.001	0.0194	0.0972
47	0.0524	0.0524	0.0524	0.9998	1.0009	0.0186	0.0931
48	0.0524	0.0524	0.0524	0.9998	1.0009	0.0178	0.0893
49	0.0524	0.0524	0.0524	0.9998	1.0009	0.0171	0.0857
50	0.0524	0.0524	0.0524	0.9998	1.0008	0.0164	0.0823
