N	dist	1/dist	E1/E0	E2/E0
2	0.0017	591.8712	0.8211	2.3917
3	0.0008	1287.8314	1.185	1.7554
4	0.0004	2236.1227	1.0796	1.3546
5	0.0003	3453.21	1.0285	1.1949
6	0.0002	4939.6904	1.007	1.1213
7	0.0001	6695.9399	0.9978	1.0818
8	0.0001	8722.1564	0.994	1.0584
9	0.0001	11018.3248	0.9925	1.0436
10	7.4e-05	13584.6335	0.9922	1.0336
11	6.1e-05	16420.8196	0.9923	1.0266
12	5.1e-05	19527.2165	0.9927	1.0215
13	4.4e-05	22903.2081	0.9932	1.0178
14	3.8e-05	26549.2736	0.9936	1.0149
15	3.3e-05	30465.5395	0.9941	1.0126
16	2.9e-05	34651.4946	0.9945	1.0108
17	2.6e-05	39107.8149	0.995	1.0094
18	2.3e-05	43835.1559	0.9953	1.0082
19	2e-05	48832.2368	0.9957	1.0072
20	1.8e-05	54099.2877	0.996	1.0064
21	1.7e-05	59635.7797	0.9963	1.0057
22	1.5e-05	65441.6673	0.9965	1.0051
23	1.4e-05	71516.446	0.9967	1.0046
24	1.3e-05	77860.228	0.9969	1.0042
25	1.2e-05	84474.5307	0.9971	1.0038
26	1.1e-05	91350.8926	0.9973	1.0035
27	1e-05	98497.9832	0.9975	1.0032
28	9.4e-06	105913.9773	0.9976	1.0029
29	8.8e-06	113598.8613	0.9977	1.0027
30	8.2e-06	121553.1425	0.9979	1.0025
31	7.7e-06	129776.8685	0.998	1.0023
32	7.2e-06	138270.5681	0.9981	1.0022
33	6.8e-06	147033.9766	0.9982	1.002
34	6.4e-06	156068.4546	0.9983	1.0019
35	6e-06	165373.3186	0.9983	1.0018
36	5.7e-06	174947.8514	0.9984	1.0016
37	5.4e-06	184792.6038	0.9985	1.0015
38	5.1e-06	194907.4333	0.9985	1.0014
39	4.9e-06	205291.8865	0.9986	1.0014
40	4.6e-06	215946.5757	0.9987	1.0013
41	4.4e-06	226871.1743	0.9987	1.0012
42	4.2e-06	238065.9741	0.9988	1.0011
43	4e-06	249530.8226	0.9988	1.0011
44	3.8e-06	261265.8044	0.9989	1.001
45	3.7e-06	273270.8712	0.9989	1.001
46	3.5e-06	285546.1588	0.9989	1.0009
47	3.4e-06	298090.9013	0.999	1.0009
48	3.2e-06	310914.1289	0.999	1.0008
49	3.1e-06	323960.3493	0.9991	1.0008
50	3e-06	337401.0705	0.9991	1.0008
51	2.8e-06	350945.3498	0.9991	1.0007
52	2.7e-06	364875.4928	0.9991	1.0007
53	2.6e-06	379035.6612	0.9992	1.0007
54	2.5e-06	393472.2457	0.9992	1.0006
55	2.4e-06	408178.5314	0.9992	1.0006
56	2.4e-06	423155.0031	0.9992	1.0006
57	2.3e-06	438401.5573	0.9993	1.0006
58	2.2e-06	453918.248	0.9993	1.0005
59	2.1e-06	469704.9819	0.9993	1.0005
60	2.1e-06	485761.9164	0.9993	1.0005
61	2e-06	502088.762	0.9994	1.0005
62	1.9e-06	518685.8498	0.9994	1.0005
63	1.9e-06	535552.5485	0.9994	1.0004
64	1.8e-06	552689.3327	0.9994	1.0004
65	1.8e-06	570096.3294	0.9994	1.0004
66	1.7e-06	587773.0152	0.9994	1.0004
67	1.7e-06	605720.0612	0.9995	1.0004
68	1.6e-06	623938.151	0.9995	1.0004
69	1.6e-06	642425.9755	0.9995	1.0004
70	1.5e-06	661183.7787	0.9995	1.0004
71	1.5e-06	680211.0262	0.9995	1.0003
72	1.4e-06	699507.6772	0.9995	1.0003
73	1.4e-06	719073.2264	0.9995	1.0003
74	1.4e-06	738907.7832	0.9995	1.0003
75	1.3e-06	759012.8794	0.9996	1.0003
76	1.3e-06	779380.0535	0.9996	1.0003
77	1.2e-06	800017.928	0.9996	1.0003
78	1.2e-06	820924.7165	0.9996	1.0003
79	1.2e-06	842100.3922	0.9996	1.0003
80	1.2e-06	863545.4599	0.9996	1.0003
81	1.1e-06	885259.9676	0.9996	1.0003
82	1.1e-06	907244.4449	0.9996	1.0003
83	1.1e-06	929498.6272	0.9996	1.0002
84	1.1e-06	952023.8728	0.9996	1.0002
85	1e-06	974819.5069	0.9997	1.0002
86	1e-06	997884.8116	0.9997	1.0002
87	9.8e-07	1021220.3367	0.9997	1.0002
88	9.6e-07	1044825.9297	0.9997	1.0002
89	9.4e-07	1068701.1589	0.9997	1.0002
90	9.2e-07	1092846.6143	0.9997	1.0002
91	9e-07	1117261.9801	0.9997	1.0002
92	8.8e-07	1141947.5457	0.9997	1.0002
93	8.6e-07	1166903.1615	0.9997	1.0002
94	8.4e-07	1192128.9097	0.9997	1.0002
95	8.2e-07	1217624.7385	0.9997	1.0002
96	8e-07	1243390.7872	0.9997	1.0002
97	7.9e-07	1269426.2901	0.9997	1.0002
98	7.7e-07	1295740.092	0.9997	1.0002
99	7.6e-07	1322277.9173	0.9997	1.0002
