N	E	E1	E2	E1/E0	E2/E0	|1-E1/E0|(percent)	|1-E2/E0|(percent)
2	0.5221	0.102	0.5151	0.1953	0.9866	80.4711	1.3437
3	0.5221	0.1957	2.8656	0.3749	5.4888	62.5115	448.8819
4	0.5221	0.359	3.2908	0.6877	6.3032	31.2281	530.3244
5	0.5221	0.4107	1.124	0.7867	2.1529	21.327	115.2859
6	0.5221	0.4408	0.9224	0.8443	1.7667	15.575	76.6731
7	0.5221	0.4604	0.7722	0.8818	1.4791	11.8167	47.912
8	0.5221	0.4736	0.7036	0.9071	1.3477	9.2941	34.7689
9	0.5221	0.483	0.6587	0.9252	1.2618	7.4789	26.1767
10	0.5221	0.49	0.6295	0.9386	1.2058	6.1439	20.584
11	0.5221	0.4953	0.6089	0.9487	1.1663	5.1315	16.6331
12	0.5221	0.4994	0.5938	0.9565	1.1375	4.3478	13.7468
13	0.5221	0.5026	0.5824	0.9627	1.1156	3.7289	11.5641
14	0.5221	0.5052	0.5736	0.9677	1.0987	3.2322	9.8713
15	0.5221	0.5073	0.5666	0.9717	1.0853	2.8277	8.5299
16	0.5221	0.5091	0.561	0.9751	1.0745	2.4944	7.4478
17	0.5221	0.5105	0.5563	0.9778	1.0656	2.2159	6.5618
18	0.5221	0.5117	0.5525	0.9802	1.0583	1.9818	5.8264
19	0.5221	0.5128	0.5493	0.9822	1.0521	1.7825	5.2091
20	0.5221	0.5137	0.5465	0.9839	1.0469	1.6118	4.6859
21	0.5221	0.5144	0.5442	0.9854	1.0424	1.4644	4.2382
22	0.5221	0.5151	0.5422	0.9866	1.0385	1.3363	3.8523
23	0.5221	0.5157	0.5404	0.9878	1.0352	1.2242	3.517
24	0.5221	0.5162	0.5389	0.9887	1.0322	1.1258	3.2238
25	0.5221	0.5167	0.5376	0.9896	1.0297	1.0387	2.9661
26	0.5221	0.5171	0.5364	0.9904	1.0274	0.9612	2.7383
27	0.5221	0.5174	0.5353	0.9911	1.0254	0.892	2.5359
28	0.5221	0.5177	0.5344	0.9917	1.0236	0.8301	2.3552
29	0.5221	0.518	0.5335	0.9923	1.0219	0.7744	2.1931
30	0.5221	0.5183	0.5328	0.9928	1.0205	0.7242	2.0473
31	0.5221	0.5185	0.5321	0.9932	1.0192	0.6787	1.9157
32	0.5221	0.5187	0.5315	0.9936	1.018	0.6373	1.7963
33	0.5221	0.5189	0.5309	0.994	1.0169	0.5996	1.6878
34	0.5221	0.5191	0.5304	0.9943	1.0159	0.5652	1.5888
35	0.5221	0.5193	0.5299	0.9947	1.015	0.5337	1.4984
36	0.5221	0.5194	0.5295	0.995	1.0142	0.5047	1.4154
37	0.5221	0.5196	0.5291	0.9952	1.0134	0.4781	1.3392
38	0.5221	0.5197	0.5287	0.9955	1.0127	0.4535	1.2689
39	0.5221	0.5198	0.5284	0.9957	1.012	0.4307	1.2041
40	0.5221	0.5199	0.528	0.9959	1.0114	0.4096	1.1441
41	0.5221	0.52	0.5278	0.9961	1.0109	0.3901	1.0885
42	0.5221	0.5201	0.5275	0.9963	1.0104	0.3719	1.0368
43	0.5221	0.5202	0.5272	0.9965	1.0099	0.355	0.9887
44	0.5221	0.5203	0.527	0.9966	1.0094	0.3392	0.9439
45	0.5221	0.5204	0.5268	0.9968	1.009	0.3244	0.9021
46	0.5221	0.5205	0.5266	0.9969	1.0086	0.3106	0.863
47	0.5221	0.5205	0.5264	0.997	1.0083	0.2976	0.8265
48	0.5221	0.5206	0.5262	0.9971	1.0079	0.2857	0.7919
49	0.5221	0.5206	0.526	0.9973	1.0076	0.2739	0.76
50	0.5221	0.5207	0.5259	0.9974	1.0073	0.2635	0.7293
