t	s	tau	k1	k2
0.0014	0.4562	5.435E-03	1.340E-09	4.929E-02
0.0043	1.369	5.424E-03	7.135E-10	4.919E-02
0.0072	2.2819	5.414E-03	-1.778E-10	4.909E-02
0.0101	3.1947	5.403E-03	-9.000E-10	4.900E-02
0.0129	4.1076	5.392E-03	-1.048E-09	4.890E-02
0.0158	5.0204	5.381E-03	-2.500E-10	4.880E-02
0.0186	5.9333	5.370E-03	1.268E-09	4.871E-02
0.0215	6.8461	5.360E-03	9.431E-10	4.861E-02
0.0243	7.759	5.350E-03	1.430E-10	4.851E-02
0.0272	8.6718	5.339E-03	-6.468E-10	4.842E-02
0.03	9.5847	5.328E-03	-1.040E-09	4.832E-02
0.0328	10.4975	5.318E-03	-6.804E-10	4.823E-02
0.0356	11.4104	5.307E-03	7.296E-10	4.814E-02
0.0384	12.3232	5.297E-03	1.148E-09	4.804E-02
0.0412	13.2361	5.287E-03	5.020E-10	4.795E-02
0.044	14.1489	5.277E-03	-3.022E-10	4.786E-02
0.0468	15.0618	5.267E-03	-8.958E-10	4.776E-02
0.0496	15.9746	5.256E-03	-9.349E-10	4.767E-02
0.0524	16.8875	5.246E-03	-1.032E-10	4.758E-02
0.0552	17.8003	5.236E-03	1.210E-09	4.749E-02
0.058	18.7132	5.226E-03	8.487E-10	4.740E-02
0.0607	19.626	5.216E-03	1.175E-10	4.731E-02
0.0635	20.5389	5.206E-03	-5.971E-10	4.721E-02
0.0663	21.4517	5.196E-03	-9.638E-10	4.712E-02
0.069	22.3646	5.186E-03	-6.747E-10	4.704E-02
0.0718	23.2774	5.176E-03	5.448E-10	4.695E-02
0.0745	24.1903	5.167E-03	1.105E-09	4.686E-02
0.0772	25.1031	5.157E-03	5.590E-10	4.677E-02
0.08	26.016	5.147E-03	-1.693E-10	4.668E-02
0.0827	26.9288	5.137E-03	-7.610E-10	4.659E-02
0.0854	27.8416	5.127E-03	-9.165E-10	4.650E-02
0.0881	28.7545	5.118E-03	-3.591E-10	4.642E-02
0.0909	29.6673	5.108E-03	9.714E-10	4.633E-02
0.0936	30.5802	5.099E-03	9.353E-10	4.624E-02
0.0963	31.493	5.089E-03	3.280E-10	4.616E-02
0.099	32.4059	5.080E-03	-3.572E-10	4.607E-02
0.1016	33.3187	5.070E-03	-8.294E-10	4.598E-02
0.1043	34.2316	5.061E-03	-8.167E-10	4.590E-02
0.107	35.1444	5.051E-03	-6.879E-11	4.581E-02
0.1097	36.0573	5.042E-03	1.081E-09	4.573E-02
0.1124	36.9701	5.033E-03	7.875E-10	4.564E-02
0.115	37.883	5.024E-03	1.680E-10	4.556E-02
0.1177	38.7958	5.014E-03	-4.635E-10	4.548E-02
0.1204	39.7087	5.005E-03	-8.408E-10	4.539E-02
0.123	40.6215	4.995E-03	-7.157E-10	4.531E-02
